shortName,name,averageDelay,passagesCount,latitude,longitude
3316,Świątniki Górne Bielowicza Szkoła,2.3333333333333335,48,49.935134166666664,19.96270277777778
1124,Wola Radziszowska Mała Ostra Góra (nż),10.384615384615385,286,49.9067,19.815
287,Liszki UG,2.639945652173913,736,50.03863444444445,19.768039166666668
365,Rondo Grzegórzeckie,10.367088607594937,79,50.057628055555554,19.959050555555557
425,Szpital Żeromskiego,8.09433962264151,53,50.06648666666667,20.046764166666666
670,Bieżanów Potrzask,2.7083333333333335,24,50.00812416666667,20.05300972222222
737,Wilga (nż),1.4032567049808429,1044,49.99498722222222,19.930509166666667
789,Radziszów Kamionna (nż),3.2813688212927756,263,49.94671388888889,19.811243333333334
966,Tor Kajakowy,7.03886925795053,283,50.032538333333335,19.82916361111111
995,Meissnera,2.214038128249567,1154,50.0754425,19.97950972222222
1282,Wola Batorska Kościół (nż),1.4,5,50.052883888888886,20.27628361111111
903,Ślósarczyka,3.8333333333333335,24,50.00957138888889,20.041725555555555
989,Tomaszowice,0.3333333333333333,3,50.13436194444444,19.84193888888889
139,Tondosa (nż),1.9591836734693877,98,50.06068416666667,19.8922275
146,ZOO,-3.962962962962963,27,50.05482111111111,19.85514388888889
2889,Zagacie Witkówki (nż),3.3054187192118225,203,50.00425055555556,19.70229861111111
2913,Burów Centrum,1.2,5,50.09520472222222,19.76940388888889
310,Malczewskiego (nż),2.5136162127929067,1579,50.049304166666666,19.902910555555554
3148,Wróblowice,4.038338658146965,626,49.97965361111111,19.94439861111111
1109,Brzeźnica Kuźnia (nż),8.333333333333334,12,49.963,19.6492
1347,Konary Sęk (nż),3.0,13,49.9354,19.9275
2564,Wały Wiślane (nż),3.0163934426229506,610,50.02755416666667,19.84719777777778
3261,Sewera (nż),9.840832395950507,3556,50.073416944444446,19.896751944444443
352,Batowice Kapliczka,1.3333333333333333,15,50.11144111111111,20.015943888888888
379,Piasta Kołodzieja,11.225806451612904,31,50.09822111111111,20.013374166666665
559,Saska,4.139211136890951,1293,50.045092777777775,19.983619166666667
1089,Rzozów Szkoła,2.391891891891892,74,49.952619722222224,19.7944325
2478,Skawina Tyniecka Osiedle,3.8,20,49.9784,19.82
2576,Zajezdnia Płaszów,3.857142857142857,35,50.03542,20.011653333333335
2708,Brzyczyna,4.769230769230769,13,49.9726,19.8691
